Position,Name,Pont,Total,Net,Nasc
1,MAEDER, Maximilian,1,1,1,[image] SGP 25
2,MAZELLA, Axel,2,2,2,[image] FRA 44
3,NOCHER, Maxime,3,3,3,[image] FRA 59
4,BOSCHETTI, Lorenzo,4,4,4,[image] ITA 52
5,DOLENC, Martin,5,5,5,[image] CRO 43
6,BAINBRIDGE, Connor,6,6,6,[image] GBR 11
7,DE RAMECOURT, Th�o,7,7,7,[image] FRA 12
8,PIANOSI, Riccardo,8,8,8,[image] ITA 50
9,GRUBER, Florian,9,9,9,[image] GER 23
10,HUANG, Qibin,10,10,10,[image] CHN 55
11,GOMEZ, Benoit,11,11,11,[image] FRA 17
12,MAUS, Jannis,12,12,12,[image] GER 21
13,VODISEK, Toni,13,13,13,[image] SLO 68
14,EHLEN, Alexander,14,14,14,[image] MON 2
15,LHEZ, Arthur,15,15,15,[image] FRA 15
16,PARLIER, Nicolas,16,16,16,[image] FRA 45
17,ZAKOWSKI, Maksymilian,17,17,17,[image] POL 32
18,LOBO, Bruno,18,18,18,[image] BRA 64
19,AZULAY, Dvir,19,19,19,[image] ISR 10
20,EDEGRAN, Markus,20,20,20,[image] USA 58
21,ZARKA, Dor,21,21,21,[image] ISR 1
22,BONTUS, Valentin,22,22,22,[image] AUT 13
23,MARCINIAK, Jan,23,23,23,[image] POL 33
24,BRASILI, Alessio,24,24,24,[image] ITA 51
25,HARUVI, Zohar,25,25,25,[image] ISR 8
26,CALBUCCI, Mario,26,26,26,[image] ITA 19
27,CLIMENT HERN�NDEZ, Alejandro,27,27,27,[image] ESP 37
28,OZOG, Blazej,28,28,28,[image] POL 29
29,RUNCIMAN, Noah,29,29,29,[image] USA 57
30,WESTON, Joseph Jonathan,30,30,30,[image] THA 69
31,GINYOL, Ejder,31,31,31,[image] TUR 48
32,JURKOWSKI, Jakub,32,32,32,[image] POL 30
33,QUERNEC, Malo,33,33,33,[image] FRA 65
34,V�STER, Jan,34,34,34,[image] GER 22
35,PICARD, Anthony,35,35,35,[image] FRA 41
36,WOJCIECHOWSKI, Michal,36,36,36,[image] POL 31
37,KOSKA, Vojtech,37,37,37,[image] CZE 40
38,PULLEN, Zac,38,38,38,[image] AUS 54
39,VILLEGAS, Xantos,39,39,39,[image] MEX 56
40,DEREEPER, Ulysse,40,40,40,[image] FRA 16
41,TYSON, Tiger,41,41,41,[image] ANT 42
42,CORTES, Bernat,42,42,42,[image] ESP 28
43,PAZ, Yael,43,43,43,[image] ISR 9
44,BRIDGE, Guy,44,44,44,[image] GBR 14
45,PEREZ, Enzo,45,45,45,[image] FRA 60
46,ESPI VA�O, Jacobo,46,46,46,[image] ESP 27
47,LANDWEHR, Alex,47,47,47,[image] AUS 53
48,KESSLER, Bruce,48,48,48,[image] SUI 20
49,SZYMIEC, Piotr,49,49,49,[image] POL 34
50,DE JAHAM, Nell,50,50,50,[image] FRA 35
51,BASIK TASHTASH, Tal,51,51,51,[image] ISR 7
52,RUPCHOM, Sarun,52,52,52,[image] THA 4
53,HOUSTEK, Jindrich,53,53,53,[image] CZE 46
54,MOREL, Jean Romain,54,54,54,[image] FRA 67
55,LABORD�RE, Paul,55,55,55,[image] FRA 36
56,COGUIEC, Math�o,56,56,56,[image] FRA 61
57,DE MOURGUES, Marius,57,57,57,[image] FRA 62
58,IZARD, Matthieu,58,58,58,[image] FRA 66
59,PRANGSRI, Sirawit,59,59,59,[image] THA 5
60,MAEDER, Karl,60,60,60,[image] SUI 24
61,STRAGIOTTI, Gian Andrea,61,61,61,[image] SUI 18
62,GARNIER, Anil,62,62,62,[image] FRA 39
63,CHINOT, Titouan,63,63,63,[image] FRA 26
64,PROMWAEN, Somsak,64,64,64,[image] THA 3
65,KROCZAK, Marcin,65,65,65,[image] SUI 63
66,OLSSON, Andr�,66,66,66,[image] SWE 38
67,BARBERA FERRAGUD, Oscar,67,67,67,[image] ESP 49
68,SELF, Daniel,68,68,68,[image] AUS 47
