Position,Name,Pont,Total,Net,Nasc
1,MOROZ, Daniela,1,1,1,[image] USA 22
2,NOLOT, Lauriane,2,2,2,[image] FRA 45
3,ALDRIDGE, Ellie,3,3,3,[image] GBR 1
4,NEWLAND, Poema,4,4,4,[image] FRA 23
5,FANCELLI, Alexia,5,5,5,[image] FRA 14
6,WHITEHEAD, Breiana,6,6,6,[image] AUS 39
7,ANDERSON, Madeleine,7,7,7,[image] GBR 2
8,MEYER, Leonie,8,8,8,[image] GER 20
9,CRATHORNE, Jemima,9,9,9,[image] GBR 9
10,DAMASIEWICZ, Julia,10,10,10,[image] POL 11
11,KORNELLI, Alina,11,11,11,[image] AUT 17
12,KAMPMAN, Jessie,12,12,12,[image] FRA 16
13,DABSON, Katie,13,13,13,[image] GBR 10
14,PULIDO BORRELL, Gisela,14,14,14,[image] ESP 30
15,YOUNG, Lily,15,15,15,[image] GBR 41
16,WOYCIECHOWSKA, Magdalena,16,16,16,[image] POL 40
17,TOMASONI, Sofia,17,17,17,[image] ITA 38
18,ARCISZ, Nina,18,18,18,[image] POL 3
19,DESJARDINS, Ana�s Mai,19,19,19,[image] FRA 12
20,PESCETTO, Maggie,20,20,20,[image] ITA 28
21,ASHKENAZI, Maya,21,21,21,[image] ISR 4
22,PEGOURIE, Heloise,22,22,22,[image] FRA 27
23,LAPORTE, Tiana,23,23,23,[image] ITA 18
24,RIJSBERGEN, Kimberley,24,24,24,[image] NED 33
25,ZUKERMAN, Gal,25,25,25,[image] ISR 43
26,TAYLOR, Jane,26,26,26,[image] AUS 37
27,CAVAL, Lysa,27,27,27,[image] FRA 8
28,BIVAUD, Nina,28,28,28,[image] FRA 24
29,ATAKAN, Derin,29,29,29,[image] TUR 6
30,SAWICKA, Dominika,30,30,30,[image] POL 35
31,MORKOWSKA, Julia,31,31,31,[image] POL 21
32,BOUTANG, Zo�,32,32,32,[image] FRA 7
33,REVIL, Chloe,33,33,33,[image] FRA 32
34,SORGU�, Derin Deniz,34,34,34,[image] TUR 36
35,VASONCELLO, Maria Do Socorro,35,35,35,[image] BRA 31
36,JANTAWAN, Benyapa,36,36,36,[image] THA 15
37,LARSSON, Karolina,37,37,37,[image] SWE 19
38,PHISIL, Tatsanee,38,38,38,[image] THA 29
39,ZIZLAVSKA, Monika,39,39,39,[image] CZE 42
40,SATRJAN, Izabela,40,40,40,[image] POL 34
41,DOLENC, Marija,41,41,41,[image] CRO 13
42,BALANCA, Lilou,43 DNC,43,43,[image] FRA 44
