Name,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Position,Punição,Pontuação Total,Nett,Nome Competição,Regata
DAHLBERG Anton KARLSSON Lovisa,7,470,1,G,1,,45,35,Semaine Olympique Francaise De Voile 2022,R1
MACHETTI Hippolyte RETORNAZ Aloise,7,470,2,G,2,,54,42,Semaine Olympique Francaise De Voile 2022,R1
WANSER Luise AUTENRIETH Philipp,7,470,5,G,3,,66,51,Semaine Olympique Francaise De Voile 2022,R1
FERRARI Giacomo CARUSO Bianca,7,470,3,G,4,,68,53,Semaine Olympique Francaise De Voile 2022,R1
VADLAU Lara MAHR Lukas,7,470,7,G,5,,68,54,Semaine Olympique Francaise De Voile 2022,R1
MERMOD Yves SIEGENTHALER Maja,7,470,10,G,6,,71,55,Semaine Olympique Francaise De Voile 2022,R1
XAMMAR Jordi BRUGMAN Nora,7,470,9,G,7,,82,55,Semaine Olympique Francaise De Voile 2022,R1
WRIGLEY Martin MCINTYRE Eilidh,7,470,3,G,8,,87,60,Semaine Olympique Francaise De Voile 2022,R1
KEIJU Okada YOSHIOKA MIHO,7,470,14,G,9,,81,64,Semaine Olympique Francaise De Voile 2022,R1
HEATHCOTE Vita ORR Ryan,7,470,5,G,10,,94,79,Semaine Olympique Francaise De Voile 2022,R1
GRADONI Marco DUBBINI Alessandra,7,470,6,G,11,,87,60,Semaine Olympique Francaise De Voile 2022,R1
CHARLWOOD Chris CATT Amelia,7,470,2,G,12,,78,60,Semaine Olympique Francaise De Voile 2022,R1
DAHNKE THERES CIPRA MATTI,7,470,9,G,13,,80,60,Semaine Olympique Francaise De Voile 2022,R1
PACAUD Matisse DE GENNES Lucie,7,470,8,G,14,,76,61,Semaine Olympique Francaise De Voile 2022,R1
WINKEL Malte WINKEL Anastasiya,7,470,1,G,15,,83,62,Semaine Olympique Francaise De Voile 2022,R1
BOVER MARIA GARCIA PABLO,7,470,12,G,16,,95,72,Semaine Olympique Francaise De Voile 2022,R1
PAPOUTSOGLOU Vasilis KLONARIDOU Rafailina,7,470,(23.0),G,17,,97,74,Semaine Olympique Francaise De Voile 2022,R1
JERWOOD Nia NICHOLAS Conor,7,470,10,G,18,,109,84,Semaine Olympique Francaise De Voile 2022,R1
TOTIS Andrew LINUSSI Alice,7,470,12,G,19,,118,94,Semaine Olympique Francaise De Voile 2022,R1
BERGSTROM Olivia CHRISTENSSON Hugo,7,470,8,G,20,,123,99,Semaine Olympique Francaise De Voile 2022,R1
BERTA Elena IZZO Jacopo,7,470,13,G,21,,122,103,Semaine Olympique Francaise De Voile 2022,R1
FAHRNI Linda SCHUPBACH Cyril,7,470,19,G,22,,132,107,Semaine Olympique Francaise De Voile 2022,R1
COSTA Diogo JOAO Carolina,7,470,15,G,23,,136,109,Semaine Olympique Francaise De Voile 2022,R1
DUQUE Juliana MARTINS Rafael,7,470,6,G,24,,133,110,Semaine Olympique Francaise De Voile 2022,R1
LE CLECH Hugo COLOMBE Julia,7,470,11,G,25,,134,112,Semaine Olympique Francaise De Voile 2022,R1
