Position;Sail #;Bow;Name;Cat;1Q;2Q;3Q;4Q;5Q;6Q;7F;8F;9F;TOTAL;NET
1;FRA 1;6;LECOINTRE, Camille / s�ciete des MION, Jeremie / s�ciete des;;5;5;3;1;9;5;9;-12;1;50;38
2;ESP 44;1;XAMMAR, Jordi / Real Club N�utico BRUGMAN, Nora / Club Vela Blanes;;4;1;4;4;2;9;-24;1;14;63;39
3;GER 13;4;WINKEL , Malte / NRV / SYC WINKEL, Anastasiya /;;1;2;15;11;2;4;14;-28;7;84;56
4;GER 11;3;DIESCH, Simon / SUNNY MARKFORT, Anna / SUNNY;;9;1;13;6;3;2;10;13;-18;75;57
5;GER 50;16;L�FFLER, Theresa / DTYC / ANGIE HOERR, Christopher / SCBC /;;7;8;14;1;4;8;11;-14;5;72;58
6;FRA 72;13;PACAUD, Matisse / yacht club de DE GENNES, Lucie / yacht club de;;5;5;8;2;14;5;13;9;-17;78;61
7;ITA 6;26;BERTA, Elena / CENTRO SPORTIVO FESTO, Bruno / VELA LNI;;11;12;11;13;5;4;-17;2;4;79;62
8;GBR 4;19;HEATHCOTE , Vita Heathcote / GRUBE , Chris / Bala / CECIL;;2;2;10;5;7;18;-25;3;15;87;62
9;JPN 8;2;OKADA, Keiju / TMEJ/BENESSE YOSHIOKA, Miho / TMEJ/BENESSE;;STP 7;STP 7;6;7;-12;11;8;8;9;75;63
10;SWE 349;7;DAHLBERG, Anton / RSYC / KARLSSON, Lovisa / Gothenburg;;4;3;5;8;1;1;-26;17;25;90;64
11;GER 10;8;WANSER, Luise AUTENRIETH, Philipp;;6;20;2;5;8;11;-22;7;6;87;65
12;ITA 3;10;FERRARI, Giacomo / VENILIA DUBBINI, Alessandra / SEZIONE;;8;9;1;18;11;UFD (35);1;6;12;101;66
13;POR 21;12;COSTA, Diogo JOAO, Carolina;;10;10;1;10;6;12;4;-22;13;88;66
14;ISR 15;9;HASSON , Nitai / sdot-yam / LASRY, Noa / sdot-yam / TOPGUM,;;3;6;16;12;1;3;15;16;-21;93;72
15;GER 20;15;DAHNKE, Theres CIPRA, Matti;;1;8;12;BFD (35);5;9;19;11;8;108;73
16;CHN 311;63;XU, Zangjun / zhejiang LYU, Yixiao / Shandong;;8;9;-21;9;4;20;6;18;2;97;76
17;POR 25;23;GAGO, Beatriz PIRES, Rodolfo;;13;15;4;15;8;7;3;15;-28;108;80
18;SUI 3;18;MERMOD, Yves / ALMIRA SIEGENTHALER, Maja / ALMIRA;;7;13;7;17;19;8;2;10;-20;103;83
19;JPN 22;11;ISOZAKI, Tetsuya / YAMAHA SEKI, Yurie / YAMAHA SAILING;;14;10;-22;6;3;7;12;20;16;110;88
20;USA 1842;68;MCNAY, Stuart / NEW YORK DALLMAN-WEISS, Lara / NYYC,;;STP 10;STP 5;21;14;13;1;16;-34;11;125;91
21;TUR 890;32;CINAR, Deniz / DOGUS GROUP NALBANTOGLU, Lara / DOGUS;;STP 13;STP 17;3;7;7;15;7;24;-33;126;93
22;AUT 1;5;"VADLAU, Lara MAEHR, Lukas";;11;3;DSQ (35);BFD 35;12;6;21;5;3;131;96
23;JPN 55;20;YOSHIDA, Ai / Q�SFIX PERSSON YOSHIDA, Yugo / Q�SFIX PERSSON;;14;11;18;8;15;6;30;-32;10;144;112
24;AUS 5;14;JERWOOD, Nia / Fremantle Sailing NICHOLAS, Conor / WHITEBAY 6;;10;4;17;BFD (35);17;3;34;4;24;148;113
25;JPN 46;22;TAKAYAMA, Daichi / Yamaha MORITA, Fuyuka / Yamaha Sailing;;3;7;10;BFD (35);10;18;20;21;31;155;120
26;CHN 7;37;FU, Qian / hainan / HAINAN TEAM WEI, Chuanliang / hainan /;;13;18;11;4;13;22;-33;23;19;156;123
27;BRA 21;30;"HADDAD, Henrique /
SWAN, Isabel / IBMEC/NORSUL";;18;25;5;16;14;13;5;-29;STP 27;152;123
28;CHN 373;40;XU, Jianyong XU, Yani;;15;12;23;3;11;17;23;26;-34;164;130
29;FRA 10;24;PENNANEAC'H, Manon / SNO WILLIOT, Pierre / CV ST AUBIN;;21;13;16;2;17;15;-31;25;22;162;131
30;CHN 171;25;XU, Ming / china TU, Yahan / china;;15;11;8;12;19;20;27;27;-30;169;139
31;GRE 7;29;SPANAKI, Ariadne-Paraskevi SPANAKIS, Odysseas-Emmanouil;;21;14;6;10;16;21;29;-30;23;170;140
32;CHN 1;21;DONG, Wenju WANG, Jingsa;;16;17;18;16;6;19;-32;31;29;184;152
33;GRE 1;53;PAPPA, Melina / Piraeus Sailing GIOTOPOULOS , Nikolas / Nautical;;20;20;7;BFD (35);9;13;18;33;32;187;152
34;GBR 9;33;BRISTOW, Hannah / 470 TAYLOR, James / 470 Association;;12;16;28;25;10;17;-28;19;27;182;154
35;FRA 7;51;VALADE , Lomane / Soci�t� BUNEL, Julien / Base Nautique;;16;18;19;21;24;-27;2;1;2;130;103
36;MAS 11;38;KAMAN SHAH, Muhammad Fauzi / NOOR JAMALI, Juni Karimah /;;28;21;15;BFD (35);20;2;1;3;17;142;107
37;TUR 7;28;TULCALI, Efe DANISMEND, Defne;;DNC (35);DNC 35;23;3;18;22;6;5;1;148;113
38;NOR 1;39;JACOBSEN, Julia / KNS / IDA FORSLUND, Emil / KNS / IDA;;17;17;-25;22;16;16;14;2;10;139;114
39;POL 22;34;KORSAK, Zofia / DANCING QUEEN BAZYLI, Miko?aj / DANCING QUEEN;;24;-29;20;14;18;24;4;8;5;146;117
40;POL 7;36;PAWLOWSKA, Agnieszka / SZLIJA, Bartek / KELPIE;;27;26;UFD (35);9;25;12;3;9;7;153;118
41;BRA 11;42;DUQUE, Juliana / ycb/mb/cbvela / MARTINS, Rafael / ycb/cbvela /;;17;19;25;BFD (35);15;10;19;4;11;155;120
42;AUT 463;35;DONNER, Rosa / KELAG / AMELIE HABERL, Niklas / KELAG / AMELIE;;20;19;-27;20;22;19;17;6;6;156;129
43;GER 15;31;"PUKROPSKI, Laura / FBGY
SCHL�TER, Thorben / SV03";;18;14;12;-26;21;26;13;12;13;155;129
44;NZL 4;46;SCOTT, Derek / Royal New HUME, Rebecca / Royal Akarana;;22;15;17;BFD (35);22;26;15;7;9;168;133
45;SWE 4;47;LILJEGREN, Hedvig / Royal LILJEGREN, Hugo / Royal Swedish;;23;23;9;24;26;-28;7;24;3;167;139
46;POL 1;52;"POGORZELSKI, Rafal /
GORNISIEWICZ, Malgorzata /";;STP 25;STP 22;-27;18;21;16;18;13;19;179;152
47;THA 117;48;THAMSOONTORN, Navee / Yacht WAIWAI, Nichapa / Yacht Racing;;STP 29;DNC (35);2;BFD 35;23;14;20;18;12;188;153
48;GER 22;61;EMMER, Johann / VSaW / SCH�TZE, Paula Amelie / VSaW /;;27;22;9;22;-30;30;12;14;18;184;154
49;IND 14;57;VERMA, Shraddha SHARMA, Ravindra Kumar;;30;DNC (35);19;23;20;10;28;22;8;195;160
50;ARG 26;43;"TAVELLA , Belen / CNSI
TARASIDO, Joaquin / CUBA";;19;22;29;19;30;21;BFD (35);19;4;198;163
51;UKR 22;54;SAMARIN, Yehor / Dnipro / VASYLENKO , Yelyzaveta / Dnipro /;;19;24;13;31;-33;25;16;11;26;198;165
52;ESP 1;27;BALLESTER, Neus / CN R�pita / DE MAQUA XALABARDER,;;STP 26;STP 28;24;15;DNC (35);29;9;25;16;207;172
53;POL 450;41;PASZEK, Kacper / KS AZS AWFiS WIELCZYK , Iga / SSW MOS I?awa;;DNC (35);30;20;28;28;23;5;15;23;207;172
54;GER 79;60;THEINER, Reamonn / Schweriner BATZING, Bente / Yachtclub;;DNC (35);DNC 35;14;29;27;14;22;20;14;210;175
55;AUS 2;44;JACKSON, Sophie / LEXTECH JACKSON, James / LEXTECH;;22;DNF (35);31;30;23;24;11;23;15;214;179
56;GER 37;59;"ADELSSEN, Juliane /
WILLE, Jonathan / M�hlenberger";;29;25;-33;20;27;27;23;10;21;215;182
57;IND 59;66;"CHOUHAN, Uma / INWTC(MBI) /
SHEKHAR, Sudhanshu /";;29;28;22;11;25;UFD (35);21;26;24;221;186
58;CRO 88;55;SAMAR�IJA, Ema / YC ADRIA SCHEIDL, Leon / YC ADRIA;;DNC (35);DNC 35;29;13;24;23;26;16;27;228;193
59;GER 55;45;SCHAAFF, Catharina / VSaW LIEBIG, Colin / VSaW / SV03;;31;DNC (35);24;33;31;UFD 35;8;17;20;234;199
60;AUS 33;50;DAUNT, Ashlee / RQYS / LEWIS DAUNT, Brayden / RQYS / LEWIS;;23;26;26;19;26;28;24;27;-32;231;199
61;GBR 863;49;IRISH, Millie / Draycote Water MATYJASZCZUK, Szymon / WHSC;;26;23;30;17;29;25;27;-30;29;236;206
62;GBR 55;17;WRIGLEY, Martin HARRIS, Bettine;;2;7;26;DNC (35);DNC 35;DNC 35;DNC 35;DNC 35;DNC 35;245;210
63;POL 11;56;CYMERMAN, Joanna / Centrum KOSOBUCKI, Tymon / YKP Gdynia;;STP 27;STP 25;-32;27;29;30;31;29;22;252;220
64;GER 68;65;KELLER, Max / Spandauer POLSTER, Linn�a / YachtClub;;DNC (35);DNC 35;28;23;32;32;10;33;28;256;221
65;GER 12;58;PORTHUN, Paul / M�hlenberger BERGMANN, Leonie /;;25;27;30;BFD (35);28;33;30;21;31;260;225
66;BRA 111;62;GANDOLPHO, Luisa / GRANADO GANDOLPHO, Antonio / GRANADO;;DNC (35);DNC 35;34;21;31;31;25;31;30;273;238
67;GER 49;64;"WEHRLE, Amelie / ULTRAMARIN/
HONOLD, Riccardo / ULTRAMARIN/";;DNC (35);DNC 35;32;32;32;29;29;28;25;277;242
68;POL 13;67;"SCHMIDT, Pola
PANA?, Maciej";;DNC (35);DNC 35;31;34;34;31;STP 33;32;33;298;263
