Position,Name,Competicao,Classe
1,"DOMINIK BUKSAK, SZYMON WIERZBICKI",Semaine Olympique Francaise De Voile 2022,49ER
2,"MAXIMILIANO AGNESE, NEVIN SNOW",Semaine Olympique Francaise De Voile 2022,49ER
3,"CLEMENT PEQUIN, ERWAN FISCHER",Semaine Olympique Francaise De Voile 2022,49ER
4,"DIEGO BOTIN, FLORIAN TRITTEL PAUL",Semaine Olympique Francaise De Voile 2022,49ER
5,"EMILE AMOROS, LUCAS RUAL",Semaine Olympique Francaise De Voile 2022,49ER
6,"BART LAMBRIEX, FLORIS VAN DE WERKEN",Semaine Olympique Francaise De Voile 2022,49ER
7,"FREDERIK RASK, JAKOB PRECHT JENSEN",Semaine Olympique Francaise De Voile 2022,49ER
8,"MIKOLAJ STANIUL, JAKUB SZTORCH",Semaine Olympique Francaise De Voile 2022,49ER
9,"LUKASZ PRZYBYTEK, JACEK PIASECKI",Semaine Olympique Francaise De Voile 2022,49ER
10,"ANDREW MOLLERUS, IAN MACDIARMID",Semaine Olympique Francaise De Voile 2022,49ER
11,"HANS HENKEN, IAN BARROWS",Semaine Olympique Francaise De Voile 2022,49ER
12,"LOGAN BECK, OSCAR GUNN",Semaine Olympique Francaise De Voile 2022,49ER
13,"ISAAC MCHARDIE, WILLIAM MCKENZIE",Semaine Olympique Francaise De Voile 2022,49ER
14,"UBERTO CRIVELLI VISCONTI, GIULIO CALABRO",Semaine Olympique Francaise De Voile 2022,49ER
15,"DICKSON ROBERT, N/A",Semaine Olympique Francaise De Voile 2022,49ER
16,"ANDRES BARRIO, ANTONIO TORRADO MARTINEZ",Semaine Olympique Francaise De Voile 2022,49ER
17,"SIMONE FERRARESE, LEONARDO CHISTE",Semaine Olympique Francaise De Voile 2022,49ER
18,"JOEL TURNER, THOMAS NEEDHAM",Semaine Olympique Francaise De Voile 2022,49ER
19,"KEANU PRETTNER, JAKOB FLACHBERGER",Semaine Olympique Francaise De Voile 2022,49ER
20,"KEVIN FISCHER, YANN JAUVIN",Semaine Olympique Francaise De Voile 2022,49ER
21,"TOM PELSMAEKERS, YANNICK LEFEBVRE",Semaine Olympique Francaise De Voile 2022,49ER
22,"PIM VAN VUGT, SCIPIO HOUTMAN",Semaine Olympique Francaise De Voile 2022,49ER
23,"JIM COLLEY, SHAUN CONNOR",Semaine Olympique Francaise De Voile 2022,49ER
24,"NICK ROBINS, DANIEL BUDDEN",Semaine Olympique Francaise De Voile 2022,49ER
25,"JACK FERGUSON, MAX PAUL",Semaine Olympique Francaise De Voile 2022,49ER
26,"CHRIS TAYLOR, JAMES GRUMMETT",Semaine Olympique Francaise De Voile 2022,49ER
27,"MARCO ANESSI, EDOARDO GAMBA",Semaine Olympique Francaise De Voile 2022,49ER
28,"ANDREAS SPRANGER, JAKOB MEGGENDORFER",Semaine Olympique Francaise De Voile 2022,49ER
29,"JOAKIM SALSKOV-IVERSEN, MARKUS OLIVER NIELSEN",Semaine Olympique Francaise De Voile 2022,49ER
30,"SEAFRA GUILFOYLE, JOHNNY DURCAN",Semaine Olympique Francaise De Voile 2022,49ER
31,"MAXIMILIAN STINGELE, LINOV SCHEEL",Semaine Olympique Francaise De Voile 2022,49ER
32,"SAMUEL BACON, HENRY GAUTREY",Semaine Olympique Francaise De Voile 2022,49ER
33,"AKIRA SAKAI, RUSSELL AYLSWORTH",Semaine Olympique Francaise De Voile 2022,49ER
34,"JOSHUA RICHNER, NILO SCHARER",Semaine Olympique Francaise De Voile 2022,49ER
35,"ADAM GLOGOWSKI, MACIEJ KRUSIEC",Semaine Olympique Francaise De Voile 2022,49ER
36,"ALBERT TORRES, ELIAS ARETZ",Semaine Olympique Francaise De Voile 2022,49ER
37,"PETERS JAMES, HUGUES ALEXANDER",Semaine Olympique Francaise De Voile 2022,49ER
38,"NYBORG DANIEL, LEHM SLETTEN",Semaine Olympique Francaise De Voile 2022,49ER
39,"ARRAN HOLMAN, JAMES TAYLOR",Semaine Olympique Francaise De Voile 2022,49ER
40,"TOM BURTON, SIMON HOFFMAN",Semaine Olympique Francaise De Voile 2022,49ER
41,"PHILLIP LYNGBEK, MADS FUGLBJERG",Semaine Olympique Francaise De Voile 2022,49ER
42,"BERTHET MATHIAS, NILSEN JEPPE",Semaine Olympique Francaise De Voile 2022,49ER
43,"VILLE KORHONEN, EDVARD BREMER",Semaine Olympique Francaise De Voile 2022,49ER
44,"TYTUS BUTOWSKI, LUKASZ MACHOWSKI",Semaine Olympique Francaise De Voile 2022,49ER
45,"GANAPATHY KELAPANDA, VARUN THAKKAR",Semaine Olympique Francaise De Voile 2022,49ER
46,"PAUL PIETZCKER, LINUS VON OPPEN",Semaine Olympique Francaise De Voile 2022,49ER
47,"ARTHUR DE JONGHE, JAN HEUNINCK",Semaine Olympique Francaise De Voile 2022,49ER
48,"HENRY OTTO, DAVEY MILES",Semaine Olympique Francaise De Voile 2022,49ER
49,"FREDRIK BERGSTROM, AXEL MUNKBY",Semaine Olympique Francaise De Voile 2022,49ER
50,"MARTIN WIZNER, JAIME WIZNER",Semaine Olympique Francaise De Voile 2022,49ER
51,"RYAN LITTLECHILD, JACK HILDEBRAND",Semaine Olympique Francaise De Voile 2022,49ER
52,"WIEBRAND DE VOS, ALEKSANDR MOLIAKOV",Semaine Olympique Francaise De Voile 2022,49ER
53,"PRINCE NOBLE, MANU FRANCIS",Semaine Olympique Francaise De Voile 2022,49ER
54,"KYOUNGDUK KIM, SANGWOO BAE",Semaine Olympique Francaise De Voile 2022,49ER
55,"PAVLOS KAGIALIS, IOANNIS ORFANOS",Semaine Olympique Francaise De Voile 2022,49ER
56,"BONGJIN CHAE, SHIN SANGMIN",Semaine Olympique Francaise De Voile 2022,49ER
57,"CORENTIN GOULON, YOUENN BERTIN",Semaine Olympique Francaise De Voile 2022,49ER
58,"KENNISH MALO, MARTIN ANATOLE",Semaine Olympique Francaise De Voile 2022,49ER
59,"MASCIA GIANMARCO, CORDINI PIETRO",Semaine Olympique Francaise De Voile 2022,49ER
60,"PHILIPP ROYLA, TOM HEINRICH",Semaine Olympique Francaise De Voile 2022,49ER
61,"NICLAS LEHMANN, NIKLAS HABERL",Semaine Olympique Francaise De Voile 2022,49ER
1,DANIELA MOROZ,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
2,LAURIANE NOLOT,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
