Position,Name,Competicao,Classe
1,"GRAEL, Martine / RYC KUNZE, Kahena",Semaine Olympique Francaise De Voile 2022,49ERFX
2,"ROBLE, Stephanie / SHEA, Margaret",Semaine Olympique Francaise De Voile 2022,49ERFX
3,"NOESS, Helene / VOW RONNINGEN, Marie /",Semaine Olympique Francaise De Voile 2022,49ERFX
4,"BOBECK, Vilma / KSSS
NETZLER, Rebecca /",Semaine Olympique Francaise De Voile 2022,49ERFX
5,"BRANZ, Maria Sol / CARRANZA SAROLI,",Semaine Olympique Francaise De Voile 2022,49ERFX
6,"GRANIER, Lara / SR
RIOU, Am�lie",Semaine Olympique Francaise De Voile 2022,49ERFX
7,"MAENHAUT, Isaura / GEURTS, Anouk",Semaine Olympique Francaise De Voile 2022,49ERFX
8,"GERMANI, Jana / TPK
BERTUZZI, Giorgia",Semaine Olympique Francaise De Voile 2022,49ERFX
9,"MALONEY, Alexandra / HOBBS, Olivia",Semaine Olympique Francaise De Voile 2022,49ERFX
10,"MELZACKA, Aleksandra JANKOWIAK, Sandra",Semaine Olympique Francaise De Voile 2022,49ERFX
11,"TEN HOVE, Alexandra / MILLEN, Mariah",Semaine Olympique Francaise De Voile 2022,49ERFX
12,"ALEH, Jo / TSC/TYPBC
MEECH, Molly",Semaine Olympique Francaise De Voile 2022,49ERFX
13,"GIUNCHIGLIA, Sofia /
SCHIO, Gulia",Semaine Olympique Francaise De Voile 2022,49ERFX
14,"BRICKWOOD, Megan / ORTON, St�phanie",Semaine Olympique Francaise De Voile 2022,49ERFX
15,"SUAREZ, Patricia / RCN CANTERO, Maria",Semaine Olympique Francaise De Voile 2022,49ERFX
16,"VAN AANHOLT, Odile / SIEWERS, Emma",Semaine Olympique Francaise De Voile 2022,49ERFX
17,"HARDING, Laura / WILMOT, Annie",Semaine Olympique Francaise De Voile 2022,49ERFX
18,"PICON, Charline / LA STEYEART, Sarah",Semaine Olympique Francaise De Voile 2022,49ERFX
19,"DAHL ANDER, Pia / EDLAND, Nora",Semaine Olympique Francaise De Voile 2022,49ERFX
20,"OMARI, Carlotta / SEZ CARRARO, Sveva",Semaine Olympique Francaise De Voile 2022,49ERFX
21,"BLACK, Freya / WPNSA
TIDEY, Saskia",Semaine Olympique Francaise De Voile 2022,49ERFX
22,"SICOURI, Silvia / MARCHESINI, Maria",Semaine Olympique Francaise De Voile 2022,49ERFX
23,"LOVADINA, Mathilde / RIOU, Marine",Semaine Olympique Francaise De Voile 2022,49ERFX
24,"PASSAMONTI, Arianna FAVA, Gulia",Semaine Olympique Francaise De Voile 2022,49ERFX
25,"PRICE, Olivia / MHYC / HASELDINE, Evie",Semaine Olympique Francaise De Voile 2022,49ERFX
26,"PEYRE, Manon STAMMINGER DE",Semaine Olympique Francaise De Voile 2022,49ERFX
27,"TANAKA, Misaki / NAGAMATSU, Sera",Semaine Olympique Francaise De Voile 2022,49ERFX
28,"BRISTOW, Hannah / CARPENTER, Anna",Semaine Olympique Francaise De Voile 2022,49ERFX
29,"WILMOT, Lucy / RYC.
REINEKE, Erika",Semaine Olympique Francaise De Voile 2022,49ERFX
30,"BOEHM, Nadine / WEISSKICHEL, Lena",Semaine Olympique Francaise De Voile 2022,49ERFX
31,"CZAPSKA, Gabriela / RAJCHERT, Hanna /",Semaine Olympique Francaise De Voile 2022,49ERFX
32,"GARAU, Marina / GARCIA, Carlota",Semaine Olympique Francaise De Voile 2022,49ERFX
33,"PAIS, Helen / KALEV AUSMAN, Helen",Semaine Olympique Francaise De Voile 2022,49ERFX
34,"HIGHFIELD, Molly / CHOI, Sandy",Semaine Olympique Francaise De Voile 2022,49ERFX
35,"HENRIKSSON, Julia /
PETTERSON, Caroline",Semaine Olympique Francaise De Voile 2022,49ERFX
36,"MOSS, Alice / BERNTSSON, Ebba",Semaine Olympique Francaise De Voile 2022,49ERFX
37,"TUDELA, Diana / CRL BARRON, Adriana",Semaine Olympique Francaise De Voile 2022,49ERFX
38,"TOMAR, Harshita / SHERVEGAR, Sweta",Semaine Olympique Francaise De Voile 2022,49ERFX
1, Dvir,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
2, Connor,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
3, Oscar,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
4, Tal,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
5, Valentin,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
6, Lorenzo,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
7, Alessio,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
8, Guy,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
9, Mario,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
10, Titouan,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
11, Alejandro,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
12, Math�o,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
13, Bernat,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
14, Nell,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
15, Marius,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
16, Th�o,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
17, Ulysse,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
18, Martin,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
19, Markus,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
20, Alexander,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
21, Jacobo,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
22, Anil,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
23, Ejder,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
24, Benoit,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
25, Florian,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
26, Zohar,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
27, Jindrich,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
28, Qibin,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
29, Matthieu,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
30, Jakub,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
31, Bruce,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
32, Vojtech,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
33, Marcin,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
34, Paul,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
35, Alex,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
36, Arthur,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
37, Bruno,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
38, Karl,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
39, Maximilian,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
40, Jan,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
41, Jannis,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
42, Axel,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
43, Jean Romain,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
44, Maxime,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
45, Andr�,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
46, Blazej,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
47, Nicolas,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
48, Yael,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
49, Enzo,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
50, Riccardo,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
51, Anthony,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
52, Sirawit,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
53, Somsak,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
54, Zac,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
55, Malo,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
56, Noah,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
57, Sarun,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
58, Daniel,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
59, Gian Andrea,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
60, Piotr,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
61, Tiger,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
62, Xantos,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
63, Toni,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
64, Joseph Jonathan,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
65, Michal,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
66, Maksymilian,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
67, Dor,Semaine Olympique Francaise De Voile 2022,FORMULA KITE FEM.
1, Ellie,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
2, Madeleine,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
3, Nina,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
4, Maya,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
5, Derin,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
6, Lilou,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
7, Zo�,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
8, Lysa,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
9, Jemima,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
10, Katie,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
11, Julia,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
12, Ana�s Mai,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
13, Marija,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
14, Alexia,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
15, Benyapa,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
16, Jessie,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
17, Alina,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
18, Tiana,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
19, Karolina,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
20, Leonie,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
21, Daniela,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
22, Poema,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
23, Lauriane,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
24, Heloise,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
25, Maggie,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
26, Tatsanee,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
27, Gisela,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
28, Chloe,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
29, Kimberley,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
30, Izabela,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
31, Dominika,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
32, Derin Deniz,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
33, Jane,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
34, Sofia,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
35, Maria Do Socorro,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
36, Breiana,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
37, Magdalena,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
38, Lily,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
39, Monika,Semaine Olympique Francaise De Voile 2022,FORMULA KITE MASC.
